2025-04-15 11:34:57 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 11:34:58 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 11:34:58 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 11:34:59 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 11:35:00 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 11:35:01 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 11:35:12 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:02:14 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:02:15 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:02:15 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:02:16 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:02:18 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:02:19 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:02:30 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:03:12 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:03:12 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:03:12 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:03:16 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:03:23 | ERROR | root | [test_login.py:51] - Login test is failed
2025-04-15 12:04:14 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:04:15 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:04:15 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:04:16 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:04:17 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:04:18 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:04:29 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:05:55 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:05:55 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:05:55 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:05:56 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:05:57 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:05:58 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:06:10 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:11:54 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:11:55 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:11:55 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:11:56 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:11:57 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:11:58 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:12:10 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:15:29 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:15:30 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:15:42 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:16:12 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:16:13 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:16:25 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:19:06 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:19:07 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:19:19 | INFO | root | [test_login.py:47] - Login test is passed
2025-04-15 12:20:32 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:20:33 | INFO | root | [test_login.py:16] - Test_001_Login
2025-04-15 12:20:33 | INFO | root | [test_login.py:17] - Verifying Home page title
2025-04-15 12:20:34 | INFO | root | [test_login.py:24] - Home page title is passed
2025-04-15 12:20:37 | INFO | undetected_chromedriver.patcher | [patcher.py:346] - patching driver executable C:\Users\dpk08\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
2025-04-15 12:20:38 | INFO | root | [test_login.py:33] - Verifying Login test
2025-04-15 12:20:49 | INFO | root | [test_login.py:47] - Login test is passed
